OID_,AddNum_Pre,Add_Number,AddNum_Suf,AddNo_Full,St_PreMod,St_PreDir,St_PreTyp,St_PreSep,St_Name,St_PosTyp,St_PosDir,St_PosMod,StNam_Full,Building,Floor,Unit,Room,Seat,Addtl_Loc,SubAddress,LandmkName,County,Inc_Muni,Post_City,Census_Plc,Uninc_Comm,Nbrhd_Comm,NatAmArea,NatAmSub,Urbnztn_PR,PlaceOther,PlaceNmTyp,State,Zip_Code,Plus_4,UUID,AddAuth,AddrRefSys,Longitude,Latitude,NatGrid,Elevation,Placement,AddrPoint,Related_ID,RelateType,ParcelSrc,Parcel_ID,AddrClass,Lifecycle,Effective,Expire,DateUpdate,AnomStatus,LocatnDesc,Addr_Type,DeliverTyp,NAD_Source,DataSet_ID
15211054,,2225,,2225,,East,County Road,,740,,North,,East County Road 740 North,,,,,,,,,Jennings,Unincorporated,NORTH VERNON,,,,,,,,,IN,47265,,{F0D1118F-2880-44FA-938C-8339C6785FA2},Jennings County,,-85.569820797999967,39.093890621000071,16SFJ2368028169,,Unknown,-85.56982079799997 39.09389062100007,,,,400531300004000010,Numbered Thoroughfare Address,,,,4/23/2025 0:00:00,,,AGRICULTURAL - CASH GRAIN/GENERAL FARM,,Indiana Geographic Information Council,urn:emergency:uid:gis:SSAP:0001734:jenningscounty-
10676595,,4250,,4250,,,,,SARATOGA,Avenue,,,SARATOGA Avenue,,,GR-113,,,,GR-113,,DuPage,DOWNERS GROVE,Downers Grove,,,,,,,,,IL,60515,,{25BA8EDF-DDF8-40F7-9F21-F8887DF9018F},Reserved for future use,,-88.016702852112203,41.809847942016567,16TDM1554829163,,Unknown,-88.0167028521122 41.80984794201657,,,,,Numbered Thoroughfare Address,,,,7/17/2023 13:15:36,,,Unknown,,State of Illinois,{25ba8edf-ddf8-40f7-9f21-f8887df9018f}
70123588,,1453,,1453,,,,,WATER LILY,Drive,,,WATER LILY Drive,,,,,,,,,Denton,Unincorporated,LITT,,,,,,,,,TX,75068,,{D19ABDF8-5273-43BB-8A5A-2C0D9E142C92},LITTLE ELM,,-96.914243532999990,33.181223082000031,14SPB9446073315,,Unknown,-96.91424353299999 33.18122308200003,,,,,Numbered Thoroughfare Address,,,,10/28/2022 0:00:00,,,Unknown,,State of Texas,{d19abdf8-5273-43bb-8a5a-2c0d9e142c92}
7942675,,3005,,3005,,,,,WILEY BLVD SW,,,,WILEY BLVD SW,,,100,,,,100,,Linn,CEDAR RAPIDS,Not stated,,,,,,,,,IA,52404,,{BA11BE64-3943-474B-96A1-F72114380D72},linn-county-sheriffs-office.state.ia.us,,-91.720520296999950,41.948902994000036,15TXG0604944894,,Unknown,-91.72052029699995 41.948902994000036,,,,,Numbered Thoroughfare Address,,,,5/20/2021 0:00:00,,,Unknown,,State of Iowa,SSAP_61392@cr.ia.us
76084018,,700,,700,,,,,SUNRISE,Court,,,SUNRISE Court,,,,,,,,,Tarrant,Unincorporated,ARLINGTON,,,,,,,,,TX,,,{47D9121A-CAED-4BB0-A9BD-645D4D7A7A6C},TC911,,-97.101521047999938,32.782822716000055,14SPB7779428806,,Unknown,-97.10152104799994 32.782822716000055,,,,,Numbered Thoroughfare Address,,,,1/29/2024 0:00:00,,,Unknown,,State of Texas,{47d9121a-caed-4bb0-a9bd-645d4d7a7a6c}
96835,,6427,,6427,,West,,,Sophie,Lane,,,West Sophie Lane,,,,,,,,,Maricopa,Phoenix,Not stated,,,,,,,,,AZ,85339,,{36FE8EB1-7E97-493E-BAC2-575108E98DDF},MARICOPA911.AZ.GOV,,-112.197945645999994,33.376626216000034,12SUB8856793681,,Unknown,-112.197945646 33.376626216000034,,,,,Numbered Thoroughfare Address,,,,2/12/2022 14:03:12,,,Unknown,,State of Arizona,AP621974@MARICOPA911.AZ.GOV
12493204,,10531,,10531,,,,,CAMELOT,Street,,,CAMELOT Street,,,,,,,,,Cook,WESTCHESTER,WESTCHESTER,,,,,,,,,IL,60154,,{2176F053-7CEC-4E5F-B90B-59BB47F29F9D},Reserved for future use,,-87.885730918121993,41.858400438701985,16TDM2648334433,,Unknown,-87.885730918122 41.858400438701985,,,,,Numbered Thoroughfare Address,,,,8/8/2024 0:00:00,,,Unknown,,State of Illinois,{2176f053-7cec-4e5f-b90b-59bb47f29f9d}
73755304,,207,,207,,,,,Woods Of Boerne,Boulevard,,,Woods Of Boerne Boulevard,,,,,,,,,Kendall,Unincorporated,Not stated,,,,,,,,,TX,,,{B250B69C-EAAA-42AA-A5A8-691F8E76165A},CSEC,,-98.705234464999990,29.791947005000054,14RNT2848895768,,Unknown,-98.70523446499999 29.791947005000054,,,,,Numbered Thoroughfare Address,,,,8/17/2022 0:00:00,,,Unknown,,State of Texas,{b250b69c-eaaa-42aa-a5a8-691f8e76165a}
18366256,,108,1/2,108 1/2,,North,,,3RD,Street,,,North 3RD Street,,,APT 2,,,,APT 2,,Nelson,Bardstown,Bardstown,,,,,,,,,KY,40004,,{23693D7C-A24E-43CA-88B5-4D1BC7FE6311},nelsoncountyky.org,,-85.466824343252298,37.809852079116091,16SFG3495985825,,Unknown,-85.4668243432523 37.80985207911609,,,,,Numbered Thoroughfare Address,,,,8/10/2018 8:37:08,,,790,,State of Kentucky,SSAP_21101@nelsoncountyky.org
75978393,,3033,,3033,,,,,RUSTLEWIND,Lane,,,RUSTLEWIND Lane,,,,,,,,,Tarrant,Unincorporated,GRAND PRAIRIE,,,,,,,,,TX,,,{F2E3DD52-62D2-439B-81E7-1E3BC91B459E},TC911,,-97.038358745999972,32.696767038000075,14SPB8388719372,,Unknown,-97.03835874599997 32.696767038000075,,,,,Numbered Thoroughfare Address,,,,1/29/2024 0:00:00,,,Unknown,,State of Texas,{f2e3dd52-62d2-439b-81e7-1e3bc91b459e}
79737941,,13533,,13533,,,Highway,,11,,North,,Highway 11 North,,,,,,,,,Tuscaloosa,Unincorporated,COTTONDALE,,Cottondale,,,,,,,AL,35453,,{C3BFBE4B-C334-4228-AD14-6F58AB45F852},,,-87.401638000377034,33.168641999239611,16SDB6255270054,,Unknown,-87.40163800037703 33.16864199923961,,,,,Numbered Thoroughfare Address,,,,2/6/2024 20:40:31,,,WATER METE,,Alabama 911 Board,{C3BFBE4B-C334-4228-AD14-6F58AB45F852}
62531623,,14855,,14855,,,,,MAIN,Street,,,MAIN Street,,,,,,,,,King,BELLEVUE,Not stated,,,,,,,,,WA,98007,,{0BFF28B9-7EC8-486E-A5A5-ECC9595D43AF},kingcounty.gov,,-122.141614557999958,47.609536112000058,10TET6451373260,0,Unknown,-122.14161455799996 47.60953611200006 0,,,,,Numbered Thoroughfare Address,,,,10/30/2023 23:54:33,,,Commercial,,State of Washington,urn:emergency:uid:gis:SSAP:230587:kingcounty.gov
30397831,,7854,,7854,,,,,ALEXANDER PROMENADE,Place,,,ALEXANDER PROMENADE Place,,,120,,,,120,,Wake,RALEIGH,RALEIGH,,,,,,,,,NC,27617,,{AF8D0D96-3FBC-41E8-BD6E-F92B2073960F},,,-78.780559654493985,35.912872646071648,17SQV0026876560,,Unknown,-78.78055965449398 35.91287264607165,,,,,Numbered Thoroughfare Address,,,,1/25/2024 0:00:00,,,Unknown,,State of North Carolina,urn:emergency:uid:gis:SSAP:{3904247}:wake.nc.us
37808397,,22,,22,,,Avenue,at,Port Imperial,,,,Avenue at Port Imperial,,,Apartment 429,,,,Apartment 429,Grandview One,Hudson,"Hudson, West New York",West New York,,,,,,,,,NJ,07093,,{0508969E-1FAA-42D8-9E4C-B7CAC0FBB94A},Civil Solutions,,-74.006623317735006,40.781812102307100,18TWL8382015011,,Structure - Rooftop,-74.006623317735 40.7818121023071,,,,f2919308-b96a-481b-a3e3-81fbb7187320,Numbered Thoroughfare Address,,,,2/23/2022 11:06:11,,,Residence,,State of New Jersey,9440f9a3-f534-4f42-b184-94e830207e64
23303460,,75,,75,,,,,COMMERCIAL,Street,,,COMMERCIAL Street,,,A204,,,,A204,MILLHOUSES OF ADAMS,Berkshire,ADAMS,Not stated,,ADAMS,,,,,,,MA,01220,,{8AD0EFB6-7518-5185-7AE0-03FAA16683D2},ADAMS,UNINC_COMM,-73.123661282999933,42.616268652000031,18TXN5388719909,,Structure - Rooftop,-73.12366128299993 42.61626865200003,,,,,Numbered Thoroughfare Address,,,,12/22/2017 0:00:00,,,EDUCATIONAL,,MASSGIS Massachusetts,{8AD0EFB6-7518-5185-7AE0-03FAA16683D2}
26013912,,8402,,8402,,,,,Oak Meade,Way,,,Oak Meade Way,,,,,,,,,Howard,Unincorporated,Jessup,,,,,,,,,MD,20794,,{05F86BE4-C9A0-4649-96D8-3B9DDA088CE2},,,-76.795821167343689,39.166340340983822,18SUJ4485636771,,Unknown,-76.79582116734369 39.16634034098382,,,,,Numbered Thoroughfare Address,,,,2/14/2024 0:00:00,,,Unknown,,Maryland Department of Information Technology,2332268
1499616,,8530,,8530,,North,,,22nd,Avenue,,,North 22nd Avenue,4,,Apt 2093,,,,4 Apt 2093,,Maricopa,Phoenix,Not stated,,,,,,,,,AZ,85021,,{74D78D80-5C98-4DF6-BA2F-2E97972A53B8},MARICOPA911.AZ.GOV,,-112.107217983999988,33.560755885000049,12SUC9722514004,,Unknown,-112.10721798399999 33.56075588500005,,,,,Numbered Thoroughfare Address,,,,2/12/2022 15:05:44,,,Unknown,,State of Arizona,AP1610709@MARICOPA911.AZ.GOV
77449512,,102,,102,,,,,SHADY GROVE,,,,SHADY GROVE,,,,,,,,,Williamson,Unincorporated,GEORGETOWN,,,,,,,,,TX,78633,,{727B88A9-F0DE-4566-8587-285FC49CD7CF},CAPCOG911,,-97.757767777999959,30.712097008000057,14RPU1895098354,,Unknown,-97.75776777799996 30.712097008000057,,,,,Numbered Thoroughfare Address,,,,1/24/2022 0:00:00,,,Unknown,,State of Texas,{727b88a9-f0de-4566-8587-285fc49cd7cf}
77477859,,602,,602,,,,,FLINT RIDGE,Trail,,,FLINT RIDGE Trail,,,,,,,,,Williamson,Unincorporated,GEORGETOWN,,,,,,,,,TX,78628,,{BFA1033A-5280-4CAF-83BB-88E8567F3EF7},CAPCOG911,,-97.793358827999953,30.656195675000049,14RPU1560892121,,Unknown,-97.79335882799995 30.65619567500005,,,,,Numbered Thoroughfare Address,,,,1/24/2022 0:00:00,,,Unknown,,State of Texas,{bfa1033a-5280-4caf-83bb-88e8567f3ef7}
10673941,,732,,732,,South,,,BERKLEY,Avenue,,,South BERKLEY Avenue,,,,,,,,,DuPage,ELMHURST,Elmhurst,,,,,,,,,IL,60126,,{BCB327F4-D3CA-419D-8F23-B4A2FE40E6B6},Reserved for future use,,-87.954723053688468,41.877319096217057,16TDM2078036595,,Unknown,-87.95472305368847 41.87731909621706,,,,,Numbered Thoroughfare Address,,,,7/17/2023 13:15:36,,,Unknown,,State of Illinois,{bcb327f4-d3ca-419d-8f23-b4a2fe40e6b6}
11609617,,4101,102,4101 102,,West,,,ILES,Avenue,,,West ILES Avenue,,,,,,,,,Sangamon,SPRINGFIELD,SPRINGFIELD,,,,,,,,,IL,62711,,{C0A709B5-5C59-4278-BED9-D526BD7CA788},Reserved for future use,,-89.731051737828921,39.771831525892757,16SBK6608706001,,Unknown,-89.73105173782892 39.77183152589276,,,,,Numbered Thoroughfare Address,,,,4/22/2024 16:09:05,,,Unknown,,State of Illinois,{c0a709b5-5c59-4278-bed9-d526bd7ca788}
86316302,,502,,502,,,,,Lillian,Road,,,Lillian Road,,,,,,,,,Westmoreland,Allegheny Township,Not stated,,Unincorporated,,,,,,,PA,,,{546F827B-602F-43AF-B8D1-3DDB885D9D9B},Westmoreland County,,-79.590735398291599,40.624082098489701,17TPE1919397982,,Unknown,-79.5907353982916 40.6240820984897,,,,,Numbered Thoroughfare Address,,,,4/14/2022 0:00:00,,,Unknown,,Westmoreland County Pennsylvania,1085
5468483,,6313,,6313,,,,,4TH,Street Road,,,4TH Street Road,,,,,,,,,Weld,GREELEY,Not stated,,,,,,,,,CO,80634,,{E8B66889-D230-4D1F-AB71-CA53C56D973A},,,-104.781711709334004,40.428867607493402,13TEE1851575381,,Unknown,-104.781711709334 40.4288676074934,,,,,Numbered Thoroughfare Address,,,,5/1/2022 0:00:00,,,Unknown,,Colorado OIT GIS,2113275
80648700,,7752,,7752,,,County Road,,121,,,,County Road 121,,,,,,,,,DeKalb,Unincorporated,Not stated,,DeKalb County,,,,,,,AL,35989,,{C832380A-6B3C-4C4A-89C1-BEBDF0A88EFA},,,-85.709074420025246,34.545077887759312,16SFD1845023352,,Unknown,-85.70907442002525 34.54507788775931,,,,,Numbered Thoroughfare Address,,,,9/20/2024 0:00:00,,,Unknown,,Alabama 911 Board,{C832380A-6B3C-4C4A-89C1-BEBDF0A88EFA}
46766411,,102,,102,,North,,,ALEX,Road,,,North ALEX Road,,,C,,,,C,,Montgomery,Unincorporated,WEST CARROLLTON,,,,,,,,Village,OH,45449,,{9F6B1AB8-E14E-4F3E-99F5-D5857F360613},0,,-84.242091432759707,39.677380724458430,16SGJ3653595586,,Unknown,-84.24209143275971 39.67738072445843,,,,,Numbered Thoroughfare Address,,,,3/30/2025 0:00:00,,,House,,State of Ohio,{9f6b1ab8-e14e-4f3e-99f5-d5857f360613}
69230169,,423,,423,,,,,SIXTH,Street,West,,SIXTH Street West,,,,,,,,,Dallas,Unincorporated,IRVING,,,,,,,,,TX,75060,,{495F4B81-BDC6-48B5-AC64-864927CC8861},New Edge Services,,-96.951428996999937,32.809650310000052,14SPB9179532043,,Unknown,-96.95142899699994 32.80965031000005,,,,,Numbered Thoroughfare Address,,,,3/20/2024 0:00:00,,,Unknown,,State of Texas,{495f4b81-bdc6-48b5-ac64-864927cc8861}
14314130,,2223,,2223,,,,,Norden,Court,,,Norden Court,,,,,,,,,Marion,Unincorporated,INDIANAPOLIS,,,,,,,,,IN,46219,,{439EA733-E291-472A-81C8-D1DEA0F6500C},Marion County,,-86.057887000999983,39.799094543000081,16SEK8065405883,,Unknown,-86.05788700099998 39.79909454300008,,,,490726100036000701,Numbered Thoroughfare Address,,,,12/30/1899 0:00:00,,,RESIDENTIAL 2 FAMILY ON A PLATTED LOT,,Indiana Geographic Information Council,urn:emergency:uid:gis:SSAP:2784300:indy.gov
66314798,,3102,,3102,,,,,Chesapeake,Drive,,,Chesapeake Drive,,,UNIT 304,,,,UNIT 304,,Prince William,Prince William County,Dumfries,,,,,,,,,VA,22026,,{134B1878-CA1B-4719-B649-4A216E80B425},Prince William County,,-77.305413793897699,38.584960998168000,18STH9919773241,,Structure - Rooftop,-77.3054137938977 38.584960998168,,,,,Numbered Thoroughfare Address,,8/2/2023 0:00:00,,8/2/2023 0:00:00,,,Unknown,,Virginia Geographic Information Network,3258116
47528288,,11790,,11790,,,,,SPRINGFIELD,Pike,,,SPRINGFIELD Pike,,,,,,,,,Hamilton,Unincorporated,CINCINNATI,,,,,,,,Village,OH,45246,,{2196736F-D48A-41AB-ABDA-757DFC2F2B07},,,-84.484899652206281,39.291193860340051,16SGJ1690552107,,Unknown,-84.48489965220628 39.29119386034005,,,,,Numbered Thoroughfare Address,,,,3/30/2025 0:00:00,,,Unknown,,State of Ohio,{2196736f-d48a-41ab-abda-757dfc2f2b07}
907743,,31031,,31031,,North,,,69th,Street,,,North 69th Street,,,,,,,,,Maricopa,Scottsdale,Not stated,,,,,,,,,AZ,85266,,{FEEBA10D-0F1C-4439-85DA-5BFD3A84F7CD},MARICOPA911.AZ.GOV,,-111.931854235999992,33.767948012000033,12SVC1371036817,,Unknown,-111.93185423599999 33.76794801200003,,,,,Numbered Thoroughfare Address,,,,2/12/2022 14:26:59,,,Unknown,,State of Arizona,AP1114615@MARICOPA911.AZ.GOV
32488258,,136,,136,,,,,13TH,Street,Northwest,,13TH Street Northwest,,,,,,,,,Catawba,HICKORY,HICKORY,,,,,,,,,NC,28601,,{0B17B98F-F6AE-4B1B-95EE-8A4CE863A7D3},,,-81.360302317013279,35.734429451700414,17SMV6741854553,,Unknown,-81.36030231701328 35.734429451700414,,,,,Numbered Thoroughfare Address,,,,1/29/2025 0:16:04,,,Unknown,,State of North Carolina,SSAP_106636@ctwbncen1.catawba.nc.us
19733356,,520,,520,,,,,Little Buck,Creek,,,Little Buck Creek,,,,,,,,,Estill,Unincorporated,BARNES MTN,,,,,,,,,KY,40336,,{904EAD5F-4788-426B-AEFB-B2CD0F0A8645},bgadd.org,,-83.881532792311930,37.639414476944999,17SKB4574769714,,Unknown,-83.88153279231193 37.639414476945,,,,,Numbered Thoroughfare Address,,7/1/2022 0:00:00,7/1/2050 0:00:00,12/26/2022 0:00:00,,,GPS,,State of Kentucky,107374
84092679,,3019,,3019,,South,,,Carpenter,Street,,,South Carpenter Street,,,,,,,,,Calumet,Unincorporated,APPLETON,,,,,,,,,WI,54915,2138,{F27EC204-3958-46F1-9864-C7311EEF1A02},Andy.Hess@calumetcounty.org,,-88.393008699999996,44.233420310000000,16TCP8875598742,,Unknown,-88.3930087 44.23342031,,,,,Numbered Thoroughfare Address,,,,7/6/2018 14:51:09,,,Unknown,,State of Wisconsin,81146
34537486,,44592,,44592,,,,,CARNS,Avenue,,,CARNS Avenue,,,,,,,,,Keya Paha,SPRINGVIEW,SPRINGVIEW,,,,,,,,,NE,,,{1E420EC5-F868-4EEB-8650-D3EE1CB63AC3},Keya Paha County,,-99.553426399000003,42.781123414000000,14TMN5473136657,0,Unknown,-99.553426399 42.781123414 0,,,,,,,,,2/19/2021 0:00:00,,HOUSE,Unknown,,State of Nebraska,SSAP_1256@keya paha.ne.us
30250067,,3836,,3836,,,,,OLYMPIA,Drive,,,OLYMPIA Drive,,,,,,,,,Wake,RALEIGH,RALEIGH,,,,,,,,,NC,27603,,{0D70629F-93FD-4916-8645-28B8A2A824E1},,,-78.661031814519546,35.737785233573142,17SQV1152057388,,Unknown,-78.66103181451955 35.73778523357314,,,,,Numbered Thoroughfare Address,,,,6/1/2019 10:59:00,,,Unknown,,State of North Carolina,urn:emergency:uid:gis:SSAP:{2741088}:wake.nc.us
54476083,,1611,,1611,,,,,PEARL,Avenue,,,PEARL Avenue,,,,,,,,,Jefferson,Jefferson City,JEFFERSON CITY,,,,,,,,,TN,37760,,{1FC7ABF4-F992-49C8-928A-C9A89418B948},,,-83.488696317874101,36.118891389095062,17SKA7601500003,,Unknown,-83.4886963178741 36.11889138909506,,,,,Numbered Thoroughfare Address,,12/30/1899 0:00:00,,12/30/1899 0:00:00,,,Unknown,,TN STS GIS Services,JEFFERSON_20833
22464386,,10,,10,,,,,GERSHOM,Drive,,,GERSHOM Drive,,,,,,,,,Worcester,GRAFTON,Not stated,,GRAFTON,,,,,,,MA,01536,,{8AD0EFA0-537B-37B5-7AE0-03FAA16683D2},GRAFTON,UNINC_COMM,-71.650790777999987,42.246368633000031,19TBG8130980533,,Parcel - Centroid,-71.65079077799999 42.24636863300003,,,,,Numbered Thoroughfare Address,,,,2/3/2014 0:00:00,,,EDUCATIONAL,,MASSGIS Massachusetts,{8AD0EFA0-537B-37B5-7AE0-03FAA16683D2}
38471941,,1528,,1528,,North,,,TORNILLO,Street,,,North TORNILLO Street,,,,,,,,,Doña Ana,Unincorporated,,,LAS CRUCES,,,,,,,NM,88001,,{79A9180B-DDA0-424D-A974-FB1F3B35F404},Dona Ana County,,-106.777514601363421,32.324547216163936,13SCR3268677798,,Unknown,-106.77751460136342 32.324547216163936,,,,,Numbered Thoroughfare Address,,8/4/2023 0:00:00,,8/17/2023 0:00:00,N,,Unknown,,University of New Mexico EDAC,{79a9180b-dda0-424d-a974-fb1f3b35f404}
65049452,,24243,,24243,,,,,Kylemore,Drive,,,Kylemore Drive,,,,,,,,,Loudoun,Loudoun County,Aldie,,,,,,,,,VA,20105,,{37D5F420-DBB3-4453-AA70-7129874A8010},Loudoun County,,-77.575110620446694,38.946330415501798,18STJ7683213974,,Structure - Rooftop,-77.5751106204467 38.9463304155018,,,,,Numbered Thoroughfare Address,,8/3/2023 0:00:00,,8/3/2023 0:00:00,,,Unknown,,Virginia Geographic Information Network,1991651
14151187,,5365,,5365,,West,County Road,,760,,North,,West County Road 760 North,,,,,,"1 sty, yel, wht trm","1 sty, yel, wht trm",,Steuben,Unincorporated,ORLAND,,,,,,,,,IN,46776,,{2B98BB35-19F5-4C2E-847C-E7E9A43D5B1C},Steuben County,,-85.097599004999950,41.755074183000033,16TFM5815824331,,Unknown,-85.09759900499995 41.75507418300003,,,,760413240105000007,Numbered Thoroughfare Address,,,,12/30/1899 0:00:00,,,RESIDENTIAL 1 FAMILY ON A PLATTED LOT,,Indiana Geographic Information Council,urn:emergency:uid:gis:SSAP:245:co.steuben.in.us
59179614,,134,,134,,,,,Louis Bowen,Road,,,Louis Bowen Road,,,,,,,,,Lonoke,Unincorporated,Jacksonville,,,Lonoke County,,,,,,AR,72076,8140,{D4352D66-4071-4D60-BE64-4B0254E28A1F},085,,-92.025036400287689,34.837093471465266,15SWU8914455410,,Unknown,-92.02503640028769 34.837093471465266,,,,,Numbered Thoroughfare Address,,,,2/16/2024 0:00:00,,,Residential,,Arkansas Geographic Information Office,
58701017,,203,,203,,West,,,Hinkley,Street,,,West Hinkley Street,,,,,,,,,Craighead,Brookland,Brookland,,,BROOKLAND,,,,,,AR,72417,8015,{BB44B03B-C953-4DBE-BA61-999F02DF1B1D},031,,-90.583765321597141,35.900293408259785,15SYV1806375586,,Unknown,-90.58376532159714 35.900293408259785,,,,,Numbered Thoroughfare Address,,,,2/13/2024 0:00:00,,,Residential,,Arkansas Geographic Information Office,
36820774,,324,,324,,,,,Fairmount,Road,,,Fairmount Road,,,,,,,,,Morris,"Morris, Washington Township",Long Valley,,,,,,,,,NJ,07853,3015,{D4F6A9FC-54EC-4044-A6B9-8D50EB22F031},Morris County,,-74.769538005694699,40.746543111376297,18TWL1945610647,,Unknown,-74.7695380056947 40.7465431113763,,,,5bbf785f-aa27-4c16-ba0f-632dc1461266,Numbered Thoroughfare Address,,,,1/11/2022 1:37:13,,,Residence,,State of New Jersey,83830069-8861-468a-b966-501f51578fda
